timestamp,context,years_bucket,relationship,traits_raw,traits_list,traits_text,spontaneity_raw,sim_planned_mean,sim_spontaneous_mean,spontaneity_score,num_traits,num_words,low_confidence
2025-11-16 15:31:33.294,Wisconsin,4-6,Hung out 1–1 a decent amount,"Inquisitive, bright, thoughtful, open-minded, listener","['Inquisitive', 'bright', 'thoughtful', 'open-minded', 'listener']","Inquisitive, bright, thoughtful, open-minded, listener",0.11810039,0.15541907,0.27351946,0.3140885,5,5,False
2025-11-16 15:31:55.878,Wisconsin,4-6,Close friends,"Funny, Energetic, friendly, organized, ","['Funny', 'Energetic', 'friendly', 'organized']","Funny, Energetic, friendly, organized",0.08794072,0.2717758,0.35971653,-0.32193324,4,4,False
2025-11-16 15:34:09.877,Northwestern,4-6,Hung out 1–1 a decent amount,"Creative, optimistic, flexible","['Creative', 'optimistic', 'flexible']","Creative, optimistic, flexible",0.11786392,0.29265514,0.41051906,0.30910176,3,3,False
2025-11-16 15:35:04.541,Wisconsin,1-3,Close friends,"intellectual, self reflective, motivated to accomplish their goals (idk the word for this) ","['intellectual', 'self reflective', 'motivated to accomplish their goals (idk the word for this)']","intellectual, self reflective, motivated to accomplish their goals (idk the word for this)",0.08883272,0.16843249,0.2572652,-0.30312237,3,13,False
2025-11-16 15:35:47.425,Northwestern,1-3,Hung out 1–1 a decent amount,"Introspective, open minded, friendlt","['Introspective', 'open minded', 'friendlt']","Introspective, open minded, friendlt",0.11508866,0.1688555,0.28394416,0.2505756,3,4,False
2025-11-16 15:36:08.071,Northwestern,1-3,Close friends,"Outgoing, passionate, caring","['Outgoing', 'passionate', 'caring']","Outgoing, passionate, caring",0.099537775,0.15499534,0.2545331,-0.07736897,3,3,False
2025-11-16 15:43:40.156,Northwestern,4-6,Hung out 1–1 a decent amount,"chill, passionate, entrepreneurial ","['chill', 'passionate', 'entrepreneurial']","chill, passionate, entrepreneurial",0.124833554,0.16407779,0.28891134,0.45608073,3,3,False
2025-11-16 15:44:28.190,Northwestern,1-3,Close friends,"Chill, homie, type, shit","['Chill', 'homie', 'type', 'shit']","Chill, homie, type, shit",0.012105703,0.121575594,0.1336813,-1.921179,4,4,False
2025-11-16 15:53:31.952,Northwestern,1-3,Same large friend group / teammates / coworkers,"Creative, easy going, observant, kind","['Creative', 'easy going', 'observant', 'kind']","Creative, easy going, observant, kind",0.1608571,0.22737236,0.38822946,1.2157627,4,5,False
2025-11-16 15:54:38.252,Abroad,1-3,Hung out 1–1 a decent amount,"Caring, funny, stylish, easy-going","['Caring', 'funny', 'stylish', 'easy-going']","Caring, funny, stylish, easy-going",0.13454133,0.13442585,0.26896718,0.6608031,4,4,False
2025-11-16 15:56:32.938,Home,7+,Close friends,Performative,['Performative'],Performative,-0.08044773,0.35457993,0.2741322,-3.8729908,1,1,True
2025-11-16 16:09:32.558,Northwestern,1-3,Close friends,"Kind, funny, generous!","['Kind', 'funny', 'generous']","Kind, funny, generous",0.12045495,0.15768023,0.27813518,0.36374265,3,3,False
2025-11-16 16:13:27.118,Northwestern,1-3,Unknown,"social, reflective, adventurous","['social', 'reflective', 'adventurous']","social, reflective, adventurous",0.18162975,0.21913648,0.40076622,1.6538265,3,3,False
2025-11-16 16:23:49.760,Northwestern,1-3,Close friends,"kind, funny, caring","['kind', 'funny', 'caring']","kind, funny, caring",0.09723207,0.16008809,0.25732017,-0.12599273,3,3,False
2025-11-16 16:47:01.941,Wisconsin,1-3,Close friends,"Chill, easy-going, genuine, courageous, creative","['Chill', 'easy-going', 'genuine', 'courageous', 'creative']","Chill, easy-going, genuine, courageous, creative",0.166874,0.17101495,0.33788896,1.3426503,5,5,False
2025-11-16 17:04:56.679,Wisconsin,1-3,Close friends,Good emotional intelligence,['Good emotional intelligence'],Good emotional intelligence,0.09730697,0.13502511,0.23233208,-0.12441334,1,3,True
2025-11-16 17:26:27.974,Wisconsin,4-6,Close friends,"Loyal, committed, confused, lovable, irritating ","['Loyal', 'committed', 'confused', 'lovable', 'irritating']","Loyal, committed, confused, lovable, irritating",0.14159998,0.1582334,0.2998334,0.80965936,5,5,False
2025-11-16 17:29:30.314,Northwestern,1-3,Hung out 1–1 a decent amount,"positive, empathetic, decent dude","['positive', 'empathetic', 'decent dude']","positive, empathetic, decent dude",0.06939544,0.123057246,0.19245268,-0.7130253,3,4,False
2025-11-16 18:33:03.846,Wisconsin,4-6,Same large friend group / teammates / coworkers,"Easygoing, funny, intelligent ","['Easygoing', 'funny', 'intelligent']","Easygoing, funny, intelligent",0.15164293,0.13158835,0.2832313,1.02145,3,3,False
2025-11-16 22:18:33.870,Wisconsin,4-6,Same large friend group / teammates / coworkers,"layered,mature,calm,smile, vibe","['layered', 'mature', 'calm', 'smile', 'vibe']","layered, mature, calm, smile, vibe",0.09742649,0.156397,0.2538235,-0.121892795,5,5,False
2025-11-16 22:25:26.158,Wisconsin,1-3,Hung out 1–1 a decent amount,"leaps at opportunity, down to earth","['leaps at opportunity', 'down to earth']","leaps at opportunity, down to earth",0.15246043,0.14201117,0.2944716,1.0386896,2,6,False
2025-11-17 00:00:27.853,Abroad,1-3,Close friends,"Reliable, personable, easygoing","['Reliable', 'personable', 'easygoing']","Reliable, personable, easygoing",0.08638163,0.20061032,0.28699195,-0.35481218,3,3,False
2025-11-17 03:10:46.665,Northwestern,1-3,Hung out 1–1 a decent amount,"Reflective, outgoing,  expressive","['Reflective', 'outgoing', 'expressive']","Reflective, outgoing, expressive",0.056903332,0.26355842,0.32046175,-0.97646487,3,3,False
2025-11-17 10:36:19.640,Northwestern,1-3,Hung out 1–1 a decent amount,"Forward thinking, energetic, creative ","['Forward thinking', 'energetic', 'creative']","Forward thinking, energetic, creative",0.14201687,0.23791702,0.3799339,0.8184509,3,4,False
2025-11-17 13:18:44.421,Northwestern,1-3,Close friends,"Supportive, smiley, conversational, ","['Supportive', 'smiley', 'conversational']","Supportive, smiley, conversational",0.057187825,0.16843624,0.22562407,-0.9704653,3,3,False
2025-11-17 14:27:25.268,Northwestern,<1,Same large friend group / teammates / coworkers,"big brother, golden retriever, dependable, self-assured","['big brother', 'golden retriever', 'dependable', 'self-assured']","big brother, golden retriever, dependable, self-assured",0.058123603,0.1449723,0.2030959,-0.95073116,4,6,False
2025-11-17 15:55:59.532,Wisconsin,4-6,Close friends,"Deep, compassionate, loyal, ambitious, intelligent ","['Deep', 'compassionate', 'loyal', 'ambitious', 'intelligent']","Deep, compassionate, loyal, ambitious, intelligent",0.08496547,0.12569049,0.21065596,-0.38467687,5,5,False
2025-11-17 18:20:25.617,Wisconsin,1-3,Hung out 1–1 a decent amount,"Ambitious, approachable, mindful, creative ","['Ambitious', 'approachable', 'mindful', 'creative']","Ambitious, approachable, mindful, creative",0.118584186,0.23562494,0.35420913,0.32429102,4,4,False
2025-11-17 20:48:06.274,Home,7+,Close friends,"insightful, curious, determined, independent, logical ","['insightful', 'curious', 'determined', 'independent', 'logical']","insightful, curious, determined, independent, logical",0.12270565,0.23158832,0.35429397,0.41120654,5,5,False
2025-11-17 20:48:23.427,Home,7+,Hung out 1–1 a decent amount,"Positive vibes, laid back, grounded, open, communicative","['Positive vibes', 'laid back', 'grounded', 'open', 'communicative']","Positive vibes, laid back, grounded, open, communicative",0.06335078,0.18220451,0.2455553,-0.8404979,5,7,False
